SubjectID,researchdate,BrandID,Brand,CategoryNameDelivery,daily_ots,score,threshold,reason
1585271561336878967,2025-08-08,201236,canon,Малая техника,39294.875,0.941619696733205,0.9353643479417053,daily_ots=39294.875; share=0.8713; deviation=2.614; robust_z=70.214
1585271561336878967,2025-10-20,201236,canon,Малая техника,20155.251,0.9444665082695988,0.9353643479417053,daily_ots=20155.251; share=0.7668; deviation=3.067; robust_z=46.761
1585271561336879976,2025-10-04,369276,iqoo,Смартфоны,27948.216999999997,0.9467647109831603,0.9353643479417053,daily_ots=27948.217; share=0.7501; deviation=3.751; robust_z=16.492
1585271561336884663,2025-09-10,221942,xiaomi,Малая техника,25275.465,0.9356185289883977,0.9353643479417053,daily_ots=25275.465; share=0.5098; deviation=4.588; robust_z=20.271
1585271561336888673,2025-06-15,214553,panasonic,Малая техника,88508.16,0.9429675170392466,0.9353643479417053,daily_ots=88508.16; share=0.9422; deviation=2.826; robust_z=25.836
1585271561336888673,2025-06-15,221229,vivo (электроника),Смартфоны,44254.08,0.9399065226062677,0.9353643479417053,daily_ots=44254.08; share=0.4809; deviation=5.29; robust_z=37.138
1585271561336892046,2025-09-16,202901,delonghi,Малая техника,39974.119999999995,0.9372941271685657,0.9353643479417053,daily_ots=39974.12; share=0.8847; deviation=2.654; robust_z=23.53
1585271561336901830,2025-07-02,215234,poco,Смартфоны,190899.396,0.9433253556707885,0.9353643479417053,daily_ots=190899.396; share=0.4813; deviation=12.515; robust_z=70.688
1585271561336901830,2025-07-29,207943,infinix,Смартфоны,50318.44499999999,0.9374941468236764,0.9353643479417053,daily_ots=50318.445; share=0.4978; deviation=5.476; robust_z=13.232
1585271561336901830,2025-08-13,238974,tecno spark,Смартфоны,35033.9,0.9433117705208026,0.9353643479417053,daily_ots=35033.9; share=0.6542; deviation=3.925; robust_z=20.452
1585271561336901830,2025-08-16,311362,tecno pova,Смартфоны,36094.652,0.946091234398756,0.9353643479417053,daily_ots=36094.652; share=0.6473; deviation=4.531; robust_z=28.15
